news_id,pm_id
05-11-028_mirror,22022262
05-11-028_scotsman,22022262
05-11-028_metro,22022262
16-11-006_mirror,21792569
16-11-006_bbcnews,21792569
16-11-006_metro,21792569
02-11-002_dailymail,21300993
02-11-002_sun,21300993
02-11-002_mirror,21300993
02-11-002_express,21300993
02-11-002_times,21300993
02-11-002_guardian,21300993
02-11-002_telegraph,21300993
02-11-002_independent,21300993
02-11-002_bbcnews,21300993
02-11-002_metro,21300993
14-11-014_dailymail,21601553
01-11-002_telegraph,21420485
01-11-002_mailonline,21420485
20-11-014_dailymail,22001908
20-11-014_sun,22001908
20-11-014_mirror,22001908
20-11-014_bbcnews,22001908
20-11-014_reuters,22001908
01-11-016_dailymail,21868086
01-11-016_express,21868086
01-11-016_times,21868086
01-11-016_guardian,21868086
01-11-016_telegraph,21868086
01-11-016_independent,21868086
01-11-016_scotsman,21868086
01-11-016_bbcnews,21868086
01-11-016_reuters,21868086
01-11-016_metro,21868086
04-11-008_dailymail,21757187
04-11-008_sun,21757187
04-11-008_express,21757187
04-11-008_independent,21757187
04-11-008_bbcnews,21757187
04-11-008_metro,21757187
12-11-008_dailymail,21280060
12-11-008_express,21280060
07-11-025_sundaysun,21841185
07-11-025_bbcnews,21841185
20-11-019_telegraph,22169108
19-11-016_bbcnews,22149959
19-11-006_guardian,21747128
19-11-006_bbcnews,21747128
09-11-017_bbcnews,22196944
15-11-027_telegraph,21860095
04-11-016_bbcnews,21452338
01-11-013_dailymail,21820732
01-11-013_sun,21820732
01-11-013_times,21820732
01-11-013_guardian,21820732
01-11-013_independent,21820732
01-11-013_scotsman,21820732
01-11-013_bbcnews,21820732
19-11-008_dailymail,21775334
06-11-005_sun,21266977
15-11-014_dailymail,21920973
15-11-014_mirror,21920973
15-11-014_express,21920973
15-11-014_independent,21920973
15-11-014_dailystar,21920973
15-11-014_bbcnews,21920973
09-11-012_dailymail,21983787
07-11-020_guardian,21615299
07-11-020_bbcnews,21615299
13-11-003_dailymail,21183013
13-11-003_independent,21183013
07-11-011_sun,21378988
07-11-011_express,21378988
07-11-011_telegraph,21378988
07-11-011_scotsman,21378988
01-11-015_dailymail,21850491
01-11-015_mirror,21850491
01-11-015_express,21850491
01-11-015_telegraph,21850491
01-11-015_independent,21850491
01-11-015_dailystar,21850491
01-11-015_bbcnews,21850491
01-11-015_metro,21850491
02-11-023_dailymail,21600942
02-11-023_express,21600942
02-11-023_guardian,21600942
02-11-023_bbcnews,21600942
11-11-001_sun,21562513
11-11-001_express,21562513
11-11-001_guardian,21562513
11-11-001_independent,21562513
14-11-018_dailymail,21810886
07-11-033_dailymail,21931112
07-11-033_sun,21931112
07-11-033_reuters,21931112
02-11-051_express,22520655
12-11-005_mirror,21325004
12-11-005_guardian,21325004
12-11-005_telegraph,21325004
12-11-005_independent,21325004
12-11-005_bbcnews,21325004
07-11-024_bbcnews,21809354
17-11-011_mirror,22157081
05-11-008_dailymail,21350084
05-11-008_express,21350084
05-11-008_metro,21350084
05-11-024_mirror,21830957
05-11-024_scotsman,21830957
05-11-024_bbcnews,21830957
05-11-024_reuters,21830957
06-11-015_bbcnews,21712337
03-11-029_reuters,21920502
02-11-049_dailymail,22172722
02-11-049_mirror,22172722
03-11-005_dailymail,21233391
03-11-005_guardian,21233391
03-11-005_telegraph,21233391
03-11-005_independent,21233391
03-11-005_bbcnews,21233391
03-11-005_reuters,21233391
07-11-041_sun,22042946
19-11-013_mirror,22355626
09-11-003_dailymail,21385806
09-11-003_mirror,21385806
09-11-003_dailystar,21385806
12-11-012_dailymail,21685539
12-11-012_mirror,21685539
12-11-012_metro,21685539
16-11-002_telegraph,21444808
01-11-014_telegraph,21821867
06-11-011_sun,21610856
06-11-011_mirror,21610856
06-11-011_express,21610856
06-11-011_dailystar,21610856
06-11-011_bbcnews,21610856
06-11-011_pressassociation,21610856
06-11-011_metro,21610856
02-11-001_times,21200072
06-11-016_bbcnews,21765399
07-11-029_dailymail,21873710
07-11-029_sun,21873710
07-11-029_mirror,21873710
07-11-029_express,21873710
07-11-029_times,21873710
07-11-029_telegraph,21873710
04-11-004_bbcnews,21406512
02-11-022_dailymail,21471282
17-11-007_dailymail,21673805
17-11-007_telegraph,21673805
17-11-007_metro,21673805
07-11-017_express,21514236
07-11-017_times,21514236
07-11-017_guardian,21514236
07-11-017_independent,21514236
07-11-017_bbcnews,21514236
07-11-017_pressassociation,21514236
07-11-017_reuters,21514236
15-11-015_bbcnews,21868478
05-11-036_dailymail,22105623
05-11-036_sun,22105623
05-11-036_telegraph,22105623
05-11-036_independent,22105623
05-11-036_bbcnews,22105623
05-11-036_metro,22105623
03-11-042_mirror,22112805
03-11-042_bbcnews,22112805
12-11-030_dailymail,21868477
12-11-030_sun,21868477
18-11-012_bbcnews,22147909
06-11-023_independent,21959958
06-11-023_bbcnews,21959958
06-11-023_metro,21959958
19-11-002_dailymail,21261804
19-11-002_telegraph,21261804
19-11-002_metro,21261804
02-11-027_times,21743469
02-11-027_independent,21743469
05-11-020_scotsman,21737703
04-11-001_dailymail,21460840
04-11-001_mirror,21460840
04-11-001_express,21460840
04-11-001_times,21460840
04-11-001_guardian,21460840
04-11-001_telegraph,21460840
04-11-001_independent,21460840
04-11-001_bbcnews,21460840
04-11-001_reuters,21460840
13-11-012_reuters,21706004
04-11-018_telegraph,22056152
04-11-018_reuters,22056152
05-11-025_express,21915269
05-11-025_metro,21915269
07-11-022_mirror,21697825
08-11-010_bbcnews,21464317
06-11-014_dailymail,21693744
06-11-014_express,21693744
06-11-014_independent,21693744
06-11-001_dailymail,21245905
06-11-001_mirror,21245905
06-11-001_guardian,21245905
09-11-013_express,22006306
18-11-005_bbcnews,21471513
02-11-012_telegraph,21372060
16-11-003_bbcnews,21364036
14-11-006_dailymail,21288585
14-11-006_telegraph,21288585
14-11-006_sundaytimes,21288585
07-11-004_telegraph,21282645
07-11-004_metro,21282645
03-11-036_guardian,21988763
03-11-036_reuters,21988763
07-11-018_express,21647425
07-11-018_guardian,21647425
07-11-018_telegraph,21647425
07-11-018_scotsman,21647425
12-11-026_dailymail,22041945
12-11-026_mirror,22041945
12-11-026_express,22041945
12-11-026_times,22041945
12-11-026_guardian,22041945
12-11-026_reuters,22041945
12-11-028_reuters,22082706
18-11-004_telegraph,21454920
18-11-004_reuters,21454920
07-11-032_telegraph,21909110
07-11-032_metro,21909110
02-11-030_dailymail,21812945
02-11-030_mirror,21812945
02-11-030_express,21812945
02-11-030_guardian,21812945
02-11-030_telegraph,21812945
02-11-030_bbcnews,21812945
15-11-007_dailymail,21479173
15-11-011_sun,21555784
15-11-011_guardian,21555784
15-11-011_telegraph,21555784
15-11-011_scotsman,21555784
15-11-011_bbcnews,21555784
05-11-023_dailymail,21826061
05-11-023_times,21826061
05-11-023_guardian,21826061
17-11-003_telegraph,21325331
17-11-003_metro,21325331
03-11-033_dailymail,21976516
03-11-033_reuters,21976516
15-11-001_bbcnews,20801725
15-11-001_reuters,20801725
05-11-009_dailymail,21382554
05-11-009_sun,21382554
05-11-009_bbcnews,21382554
05-11-009_metro,21382554
15-11-023_scotsman,22190362
15-11-023_bbcnews,22190362
03-11-024_dailymail,21829179
03-11-024_guardian,21829179
03-11-024_metro,21829179
08-11-026_dailymail,22117057
08-11-026_sun,22117057
08-11-026_mirror,22117057
08-11-026_times,22117057
08-11-026_guardian,22117057
08-11-026_telegraph,22117057
08-11-026_independent,22117057
08-11-026_scotsman,22117057
08-11-026_metro,22117057
20-11-001_telegraph,21288945
05-11-027_bbcnews,21966271
06-11-021_scotsman,21517206
03-11-011_dailymail,21366474
03-11-011_guardian,21366474
03-11-011_reuters,21366474
12-11-023_bbcnews,21944779
19-11-011_express,21969521
19-11-011_metro,21969521
13-11-011_dailymail,21706030
13-11-011_express,21706030
03-11-012_times,21364553
03-11-012_scotsman,21364553
11-11-004_dailymail,21846662
01-11-023_dailymail,22053315
01-11-023_mirror,22053315
01-11-023_express,22053315
01-11-023_telegraph,22053315
01-11-023_independent,22053315
01-11-023_reuters,22053315
01-11-023_metro,22053315
08-11-028_guardian,22100201
08-11-028_telegraph,22100201
08-11-028_independent,22100201
08-11-028_bbcnews,22100201
08-11-028_reuters,22100201
08-11-003_bbcnews,21311598
04-11-009_dailymail,21914219
04-11-009_express,21914219
19-11-012_independent,21969391
19-11-012_metro,21969391
04-11-017_dailymail,22072682
04-11-017_bbcnews,22072682
18-11-006_independent,21612469
07-11-026_dailymail,21629154
07-11-026_telegraph,21629154
20-11-005_mirror,21508059
20-11-005_bbcnews,21508059
01-11-019_times,21862534
03-11-038_telegraph,21993621
03-11-038_bbcnews,21993621
05-11-011_dailymail,21411659
05-11-011_sun,21411659
05-11-011_express,21411659
05-11-011_independent,21411659
05-11-011_bbcnews,21411659
06-11-020_telegraph,21849320
08-11-027_mirror,22109525
08-11-027_independent,22109525
03-11-020_telegraph,21707557
03-11-020_reuters,21707557
14-11-020_mirror,21846713
02-11-031_dailymail,21775615
15-11-013_dailymail,21795263
15-11-013_sun,21795263
15-11-013_mirror,21795263
15-11-013_express,21795263
15-11-013_telegraph,21795263
15-11-013_bbcnews,21795263
15-11-013_reuters,21795263
15-11-013_metro,21795263
08-11-008_sun,21533175
08-11-008_express,21533175
08-11-008_telegraph,21533175
04-11-012_dailymail,22086967
04-11-012_telegraph,22086967
13-11-015_telegraph,21788663
04-11-007_dailymail,21680632
04-11-007_telegraph,21680632
04-11-007_independent,21680632
07-11-013_mirror,21471458
07-11-013_metro,21471458
08-11-017_dailymail,21572415
08-11-017_reuters,21572415
19-11-010_sun,21906948
19-11-010_mirror,21906948
19-11-010_newscientist,21906948
15-11-018_telegraph,22071768
15-11-018_bbcnews,22071768
15-11-018_metro,22071768
17-11-008_express,21636807
05-11-018_dailymail,21687661
05-11-018_sun,21687661
05-11-018_express,21687661
05-11-018_telegraph,21687661
05-11-018_bbcnews,21687661
05-11-018_metro,21687661
15-11-021_telegraph,22164139
15-11-021_metro,22164139
06-11-025_dailymail,22130653
06-11-025_sun,22130653
06-11-025_express,22130653
06-11-025_guardian,22130653
06-11-025_telegraph,22130653
06-11-025_bbcnews,22130653
07-11-001_express,21240265
07-11-001_reuters,21240265
19-11-009_dailymail,21865478
19-11-009_telegraph,21865478
