news_id,news_date,news_title,news_content,jo_freq,per_freq,org_freq,author_freq,affiliation_freq
05-11-028_mirror,2011-10-15,SUPERBUG CURE HOPE,"TARGETING a toxin released by MRSA could help combat the lethal superbug, scientists say.

Virtually all strands of the bacterium release the poison SE1X, which causes the body's immune system to go into overdrive and damage healthy cells.

This can lead to high fever, toxic shock and potentially fatal lung infections.

Dr Ross Fitzgerald, of the Roslin Institute at the University of Edinburgh, said: ""If we can find ways to target this toxin, we can stop it from triggering an over-reaction of the body's immune system and prevent severe infections.""

Between April and June, there were 317 MRSA cases reported to the Health Protection Agency, down from 333 in the previous three months.

Researchers found 95% of Staphylococcus aureus bacteria - including MRSA - produce the poison.

The study, which suggests the toxin could be attacked with drugs, was published in journal Plos Pathogens.","{""Plos Pathogens"": 1}","{""Ross Fitzgerald"": 1}","{""the Roslin Institute"": 1, ""the University of Edinburgh"": 1, ""the Health Protection Agency"": 1, ""Plos Pathogens"": 1}","{""Ross Fitzgerald"": 1}","{""the Roslin Institute"": 1, ""the University of Edinburgh"": 1, ""the Health Protection Agency"": 1, ""Plos Pathogens"": 1}"
05-11-028_scotsman,2011-10-14,Secrets of the superbug toxin that makes body turn on itself,"Scottish scientists believe they may have found a new way of battling the killer hospital superbug MRSA.

The research suggests that targeting a toxin released by virtually all strains of MRSA - meticillin-resistant Staphylococcus aureus - could help experts develop new drugs that can fight the infection.

Levels of MRSA in Scottish hospitals are now at historically low levels, but the infection, which is resistant to most antibiotics, can still prove fatal in some patients.

The latest research, by the University of Edinburgh, discovered a toxin known as ""SElX"", which leads the body's immune system to go into overdrive and damage healthy cells.

The toxin is made by 95 per cent of Staphylococcus aureus bacteria, including MRSA strains linked with hospital-acquired infections.

When it is released, it triggers an over multiplication of immune cells, which can lead to high fever, toxic shock and potentially fatal lung infections.

Experts believe that the new study, published in the journal PLoS Pathogens, will help research to find drugs that could target SElX and prevent damage to healthy cells.

The Edinburgh researchers worked with US colleagues in Iowa and Mississippi to make the discovery.

The researchers looked at a strain of MRSA known as ""USA300"" which can cause severe infections in otherwise healthy individuals.

MRSA strains are known to produce different types of toxins, but scientists found that SElX is made by virtually all strains of the superbug.

This toxin belongs to a family of toxins known as ""superantigens"", which can invoke an extreme immune response.

Dr Ross Fitzgerald, from The Roslin Institute at the University of Edinburgh, said: ""If we can find ways to target this toxin, we can stop it from triggering an over-reaction of the body's immune system and prevent severe infections.""

Figures from Health Protection Scotland show cases of MRSA reported in Scotland are now at their lowest levels since surveillance began in 2005.

The number of cases of the infection decreased from 69 to 52 - a drop of 25 per cent - between the first and second quarter of this year, according to the statistics.

Compared with the same period last year, cases were down from 79, with a reduction of over 75 per cent compared with the same period in 2007 when 215 cases were reported.

Health secretary Nicola Sturgeon welcomed the figures, but admits there is no room for complacency as the NHS also faces continued threats from bugs such as Clostridium difficile and the risk that other infections will develop resistance to antibiotics.

The Scottish Government has invested more than GBP50â€‰million funding over the past three years to tackle healthcare-associated infections, with measures including better enforcement of hand hygiene in hospitals and more inspections on wards.

The latest research in Edinburgh was funded by the Biotechnology and Biological Sciences Research Council, the National Institutes of Health, USA, the US Department of Agriculture and Pfizer Animal Health.

Gill Wilson, from The Roslin Institute and lead researcher on the paper, said: ""MRSA continues to be a global problem.

""This research could help us find a new way to target the infection.""","{""PLoS Pathogens"": 1}","{""Ross Fitzgerald"": 1, ""Nicola Sturgeon"": 1, ""Gill Wilson"": 1}","{""the University of Edinburgh"": 2, ""PLoS Pathogens"": 1, ""The Roslin Institute"": 2, ""Health Protection Scotland"": 1, ""NHS"": 1, ""The Scottish Government"": 1, ""the Biotechnology and Biological Sciences Research Council"": 1, ""the National Institutes of Health"": 1, ""Department of Agriculture"": 1, ""Pfizer Animal Health"": 1}","{""Ross Fitzgerald"": 1, ""Gill Wilson"": 1}","{""the University of Edinburgh"": 2, ""PLoS Pathogens"": 1, ""The Roslin Institute"": 2, ""Health Protection Scotland"": 1, ""The Scottish Government"": 1, ""the Biotechnology and Biological Sciences Research Council"": 1, ""the National Institutes of Health"": 1, ""Department of Agriculture"": 1, ""Pfizer Animal Health"": 1}"
05-11-028_metro,2011-10-14,Scientists hail discovery of MRSA toxin,"TARGETING a toxin released by virtually all strains of MRSA could help scientists develop drugs that can fight the superbug, research suggests.

The study has discovered a toxin, called SElX, which pushes the body's immune system into overdrive and damages healthy cells.

When released, it triggers an overmultiplication of immune cells which can lead to high fever, toxic shock and potentially fatal lung infections.

The toxin is created by 95 per cent of staphylococcus aureus bacteria, including MRSA strains linked with hospitalacquired infections.

Scientists said the study, led by the University of Edinburgh, will help to find drugs which could target SElX and prevent damage to healthy cells.

Dr Ross Fitzgerald, from the university's Roslin Institute, said: 'If we can find ways to target this toxin, we can stop it from triggering an over-reaction of the body's immune system and prevent severe infections.'

The research was carried out by the universities of Edinburgh, Iowa and Mississippi State.

It looked at a strain of MRSA known as USA300 which can cause severe infections in otherwise healthy individuals.

Gill Wilson, of the Roslin Institute and first author on the paper, said: 'This research could help us find a new way to target the infection.'",,"{""Ross Fitzgerald"": 1, ""Gill Wilson"": 1}","{""the University of Edinburgh"": 1, ""Roslin Institute"": 1, ""the Roslin Institute"": 1}","{""Ross Fitzgerald"": 1, ""Gill Wilson"": 1}","{""the University of Edinburgh"": 1, ""Roslin Institute"": 2, ""the Roslin Institute"": 1}"
16-11-006_mirror,2011-09-19,TREATMENT BOOST FOR PROSTATE CANCER SUFFERERS; HOPE IN DISEASE BATTLE,"SCIENTISTS have developed a revolutionary new treatment for deadly prostate cancer.

It could be a lifeline for the more than 500 men here who die from the silent killer every year.

Ireland has the highest rate of the disease in Europe.

The treatment is aimed at men with an advanced and aggressive form of the cancer which has spread to the bone.

It combines traditional c he m o -therapy with two doses of a different chemical.

And experts are hailing it as a massive step forward in the battle against the disease.

Project leader Dr Joe O'Sullivan said: ""While this combination treatment still has to go to phase two of trials, to know that this combination is safe and feasible as a treatment is a huge step forward.

""This is a significant development in the fight against prostate cancer.""

While it kills hundreds in Ireland every year the disease is 90% curable if it's caught early.

Chemotherapy is the most common treatment but the benefits are usually short-lived.

And now pioneering scientists are hoping that combining two different types of drugs may boost survival rates.

Dr O'Sullivan added: ""Traditional chemotherapy treatments aren't always effective in treating aggressive and advanced forms of prostate cancer so we in needed to develop a new treatment which will provide better outcomes for patients with this type of cancer.

""The combination of chemotherapy with the radioactive chemical Rhenium-186 HEDP has the potential to improve outcomes, including survival, for men with this form of cancer.""

The second phase of the trial has already started in Holland and will begin in the UK in the next six months.

It will involve up to 100 patients from the North and the Netherlands and the results should be known within two years.",,"{""Joe O'Sullivan"": 1, ""O'Sullivan"": 1}",{},"{""Joe O'Sullivan"": 1, ""O'Sullivan"": 1}",
16-11-006_bbcnews,2011-09-20,Belfast scientists 'develop prostate cancer treatment',"Scientists at Queen's University say they have developed a new combination treatment for prostate cancer.

It will now be tested in a second phase after proving successful in the initial stage of trials.

The treatment is the first of its kind to be developed and is aimed at men with an advanced and aggressive form of prostate cancer which has spread to the bone. 

This is responsible for around 10,000 deaths each year in the UK. 

The new treatment combines traditional chemotherapy treatments with two doses of a radioactive chemical.

Dr Joe O'Sullivan, consultant and senior lecturer in clinical oncology, said a new treatment was needed as traditional chemotherapy was not always effective.

""This is a significant development in the fight against prostate cancer,"" he said.

""While this combination treatment still has to go to phase two of trials, to know that this combination is safe and feasible as a treatment is a huge step forward.""

This second trial phase will involve up to 100 patients from Northern Ireland and the Netherlands.

The results are expected within two years.",,"{""Joe O'Sullivan"": 1}","{""Queen's University"": 1}",,"{""Queen's University"": 1}"
16-11-006_metro,2011-09-19,Prostate cancer breakthrough;,"A new treatment for prostate cancer has been pioneered by scientists at Queen's university Belfast.

It is aimed at men with an advanced and aggressive form of prostate cancer which has spread to the bone and is the first of its kind.

It combines traditional chemotherapy treatments with two doses of a radioactive chemical which can target areas of the bone affected by the cancer.

Dr Joe O'Sullivan, senior lecturer in clinical oncology at the centre for Cancer Research and Cell Biology at Queen's, said: 'This is a significant development in the fight against prostate cancer.'",,"{""Joe O'Sullivan"": 1}","{""Queen's"": 2, ""Cancer Research and Cell Biology"": 1}",,"{""Queen's"": 2, ""Cancer Research and Cell Biology"": 1}"
02-11-002_dailymail,2011-02-08,"Danger of a junk food diet for children: Study reveals toddlers who eat more chips, crisps, biscuits and pizza have lower IQ","Toddlers fed a diet of junk food can suffer lasting damage to their brainpower, researchers warn.

Children who eat more chips, crisps, biscuits and pizza before the age of three have a lower IQ five years later, a study showed.

The difference could be as much as five IQ points compared with children given healthier diets with fruit, vegetables and home-cooked food.

But even if their diet improves, it could be too late as the ill-effects can persist for a lifetime.

This is the first study to suggest a direct link between the diet of young children and their brainpower in later life.

The project at Bristol University took account of factors such as social class, breastfeeding and maternal education and age.

Researchers also allowed for the influence of the home environment, for example a child’s access to toys and books.

They said good nutrition was crucial in the first three years of life when the brain grows at its fastest rate.

Young children eating a diet packed with fats, sugar and processed foods consume too few vitamins and nutrients, which means their brains never grow to optimal levels.

The findings are the latest to be published from a major investigation of childhood development called the Avon Longitudinal Study of Parents and Children.

This tracks the long-term health and well-being of around 14,000 children born in the early 1990s. 

Parents completed questionnaires about the food and drink consumed by their children at the ages of three, four, seven and eight.

Three dietary patterns were identified; a processed diet high in fats and sugar, a traditional diet of meat and vegetables and a health-conscious diet high in salad, fruit and vegetables.



Researchers Dr Pauline Emmett and Dr Kate Northstone said the effect of a poor diet on brain development could persist forever, even if the diet improved.

In the study published in the Journal of Epidemiology and Community Health, children’s IQ was measured when they reached eight years old.

Dr Emmett said that the diet for children aged four or seven years had no impact on IQ scores.

But the 20 per cent of children with the worst diet at the age of three had on average an IQ score five points lower than the group eating the best diet by the time they got to eight, she said.

She added: ‘The brain grows at its fastest rate during the first three years and good nutrition during this period may encourage optimal brain growth. 

‘By the age of three, brain development is slowing down which is perhaps why the diet doesn’t have much effect afterwards.’

Dr Emmett said the ‘traditional’ diet of meat and vegetables and the health-conscious diet led to better IQ scores probably because they had more fresh fruit, vegetables, meat, fish and home-cooked foods.

‘This doesn’t mean you should never give your child a fizzy drink, chips or pizza, but these foods and drinks shouldn’t dominate the diet,’ she said.

‘Young children should be eating a normal family diet, with home-prepared fresh foods, but the problem is we have lost touch with food.

People are frightened of preparing it from scratch.’ 

Dr Emmett, who has dietician training, said she admired TV chef Jamie Oliver’s attempts to get families cooking and eating together, using simple recipes and good ingredients.

The study of 4,000 children used a points system to score their diets.

For every one point increase in scoring from a processed diet at the age of three, there was a 1.67 point fall in IQ points. 

For those children who ate the other diets, every one point increase in the dietary pattern linked to a 1.2 increase in IQ.

Michael Nelson, director of research at The School Food Trust, which aims to improve the quality of food in schools, said: ‘Given that around 23 per cent of children start school overweight or obese, it’s clear that healthy choices as part of their early development will stand children in good stead – not only for keeping a healthy weight as they grow up, but as this evidence suggests, improving their ability to do well at school.’

Graham Keen, Executive Director of the Health Food Manufacturer's Association, said: 'The best solution for most people is to eat as healthy a diet as possible, combined with other health-related lifestyle changes.

'For those looking to safeguard their nutritional intake, daily vitamin supplements provide essential nutritional insurance for millions of consumers.'","{""Journal of Epidemiology and Community Health"": 1}","{""Pauline Emmett"": 1, ""Kate Northstone"": 1, ""Emmett"": 3, ""Jamie Oliver"": 1, ""Michael Nelson"": 1, ""Graham Keen"": 1}","{""Bristol University"": 1, ""the Journal of Epidemiology and Community Health"": 1, ""IQ"": 1, ""The School Food Trust"": 1, ""the Health Food Manufacturer's Association"": 1}","{""Pauline Emmett"": 1, ""Kate Northstone"": 1, ""Emmett"": 1}","{""Bristol University"": 1, ""the Journal of Epidemiology and Community Health"": 1, ""IQ"": 1, ""The School Food Trust"": 1, ""the Health Food Manufacturer's Association"": 1}"
02-11-002_sun,2011-02-08,Junk food makes kids less brainy,"SCIENTISTS yesterday confirmed what healthy-eating campaigners have always known — junk food lowers a child’s IQ. 

Children under the age of four eating a diet of processed food, fat and sugar have lower brain power at 8½, a study of 4,000 kids revealed. 

Their IQ fell by 1.67 for every increase on a chart which reflected how much processed fat they ate. 

And the damage could not be reversed — as diet at the ages of four and seven had no affect on IQ scores. 

But feeding kids plain old-fashioned meat or fish and veg can BOOST their mental performance.

Those fed meals rich in nutrients and vitamins at the same age saw their IQ rise 1.20 points. 

The findings are particularly important as the brain grows fastest in a child’s first three years, experts said.

In a study spanning several years, scientists monitored the diet of kids at age three, four, seven and 8½. 

Dr Kate Northstone, who led the research at Bristol University, said: “In this population of contemporary British children, a poor diet, associated with increased intake of processed foods, fat and sugar in early childhood may be associated with lower IQ at the age of 8.5 years. 

“In addition, a healthy diet may be associated with higher IQ.

It is possible that good nutrition during this period may encourage optimal brain growth.”

But she added: “Further research is required to help determine the true effects of early diet on intelligence.” 

Barbara Gallani, of the Food and Drink Federation, said: “It would not be surprising if a healthy, balanced diet is important in IQ development — just like it is generally for children’s health and growth. 

“We believe it is important for everyone to eat a wide variety of foods. It’s possible to eat a healthy diet and still include some treat foods.” 

The survey findings will give ammunition to campaigners eager for a healthy eating crusade for nursery pupils — similar to TV chef Jamie Oliver’s school dinners campaign. 

But some experts believe the study may anger busy parents who rely on processed foods to placate children.",,"{""Kate Northstone"": 1, ""Barbara Gallani"": 1, ""Jamie Oliver"": 1}","{""Bristol University"": 1, ""the Food and Drink Federation"": 1}","{""Kate Northstone"": 1}","{""Bristol University"": 1, ""the Food and Drink Federation"": 1}"
02-11-002_mirror,2011-02-08,Healthy diet in early childhood linked to higher IQ,"Children brought up on a healthy diet in early life may be more intelligent than those fed high-fat foods.

Children brought up on a healthy diet in early life may be more intelligent than those fed high-fat foods.

Youngsters who eat plenty of fruit and salad aged three have higher IQs at eight.

But if those with poor diets improve their eating by eight they still have a lower IQ, the University of Bristol found.

The brain grows fastest up to three. Dr Kate Northstone said: “Good nutrition in this period may encourage optimal brain growth.”

The study is in the Journal of Epidemiology and Community Health.","{""Journal of Epidemiology and Community Health"": 1}","{""Kate Northstone"": 1}","{""the University of Bristol"": 1, ""the Journal of Epidemiology and Community Health"": 1}",,"{""the University of Bristol"": 1, ""the Journal of Epidemiology and Community Health"": 1}"
02-11-002_express,2011-02-08,Proof junk food lowers a child's IQ,"EATING junk food can lower the intelligence levels of children, a study has found.

Toddlers eating diets high in fat, sugar and processed foods have smaller IQs at the age of eight than those eating vitamin-rich diets packed with fruit and vegetables.

The difference between the two diets could be as much as five IQ points.

Worryingly, researchers have also found the damage caused to brainpower by eating poorly when young can persist even if a child's diet improves as they get older.

It is the first time a link has been discovered between a toddler's diet and their intelligence in later life.

The findings, published in the Journal of Epidemiology and Community Health, come after a study of thousands of children at Bristol University as part of a major investigation into childhood development.

Researcher Dr Pauline Emmett said 20 per cent of children with the worst diet at the age of three were on average five IQ points lower by the age of eight than the group who had the best diet.

""The brain grows at its fastest rate during the first three years and good nutrition during this period may encourage optimal brain growth,"" she said.

""By the age of three, brain development is slowing down which is perhaps why the diet doesn't have much effect afterwards.

She blamed the trend on people being frightened to prepare food from scratch saying people have ""lost touch"" with food.

Michael Nelson, director of research at The School Food Trust, which aims to improve the quality of food in schools, said: ""Given that around 23 per cent of children start school overweight or obese, it's clear that healthy choices as part of their early development will stand children in good stead.

""That is not only for keeping a healthy weight as they grow up but, as this evidence suggests, improving their ability to do well at school.""","{""Journal of Epidemiology and Community Health"": 1}","{""Pauline Emmett"": 1, ""Michael Nelson"": 1}","{""the Journal of Epidemiology and Community Health"": 1, ""Bristol University"": 1, ""The School Food Trust"": 1}","{""Pauline Emmett"": 1}","{""the Journal of Epidemiology and Community Health"": 1, ""Bristol University"": 1, ""The School Food Trust"": 1}"
