sentence,jo,label
"Accidents and suicide are the leading causes of child deaths in rural areas, and both are greater risks for rural than for urban kids, researchers report in a special issue of Health Affairs devoted to health in the rural U.S.    “As a society, there is no such thing as ‘other people’s kids’ - we have to be attentive to the health of all our children,” said study leader Janice Probst of the University of South Carolina, in Columbia.",Health Affairs,1
"Barriers to implementing state concussion laws might differ at schools without athletic trainers or written policies in place, the study team notes in the Journal of Adolescent Health.",Journal of Adolescent Health,1
"These results suggest that summer camps need more complete food allergy polices and more thorough training for staff, the study authors conclude in the Journal of Allergy and Clinical Immunology: In Practice.",Journal of Allergy and Clinical Immunology: In Practice,1
"These diseases have rarely been studied in the context of PM 2.5 and hospitalizations, the study team writes in The BMJ.",The BMJ,1
"At least nine in 10 toddlers consume at least a little bit of either fruit or veggies on a typical day, and this didn’t change much during the study period, researchers report in Pediatrics.",Pediatrics,1
"REUTERS/Jim Gathany/CDC/Handout via Reuters        From 2000 through 2014, more than 22,000 people with malaria were hospitalized in the U.S., including 182 who died from it, according to estimates published in the American Journal of Tropical Medicine and Hygiene.",American Journal of Tropical Medicine and Hygiene,1
"Not taking hearing loss into account means those earlier studies overlooked a common, important and fixable problem in communication, researchers write in the Journal of the American Geriatrics Society.",Journal of the American Geriatrics Society,1
"“If we target all those three things together (plus) a reduction of smoking then we’ll combat 80 percent of all heart disease,” said Dr. Aseem Malhotra of Lister Hospital in Stevenage, UK, who coauthored an editorial in the British Journal of Sports Medicine.",British Journal of Sports Medicine,1
"One limitation of the research review is that it included only six studies, the authors note in BJU International.",BJU International,1
"About 45 percent of the households in the study didn’t have any pets, and another 8 percent only had animals during pregnancy, researchers report in the journal Microbiome.",Microbiome,1
"About 9 percent of 19-year-olds and 15 percent of 22-year-olds not in college started using marijuana after high school and those percentages remained stable through the entire study period, the researchers report in American Journal of Public Health.",American Journal of Public Health,1
"Aerobic exercise, resistance training and workouts that blended different types of physical activity were also associated with gains in cognitive function, but didn’t have as much of an effect as tai chi, researchers report in the British Journal of Sports Medicine.",British Journal of Sports Medicine,1
"“That’s how it was used in our study.”   Previous research has linked higher perceived stress levels to more severe ulcerative colitis symptoms, and other studies have also tied yoga to reduced stress in both healthy and sick people, researchers note in the journal Alimentary Pharmacology and Therapeutics.",Alimentary Pharmacology and Therapeutics,1
"Writing in the journal Child Development, Olson and her co-author Anne Fast quote a previous study from New Zealand that estimates about 1.2 percent of people are transgender.",Child Development,1
"After two years, children at the schools with modified playgrounds were about 33 percent more likely to report pushing and shoving during recess than kids at schools with traditional playgrounds, researchers report in Pediatrics.",Pediatrics,1
"Based on its review of the evidence, published in the journal CMAJ,  the Task Force estimates a one-time screening of 100,000 Canadians would find 199 chronic hepatitis C infections and save about 40 lives, but at a substantial cost.",CMAJ,1
"While nearly 40% of those children did not get vaccinated because their parents or guardians declined, an equal number missed vaccinations because they weren’t offered by the clinician, according to the study in JAMA Pediatrics.",JAMA Pediatrics,1
"Overall, 0.7% of the babies in the study population went on to develop type 1 diabetes and just 0.1% developed type 2 diabetes, the researchers report in Diabetologia.",Diabetologia,1
"Restaurants (33 percent), service settings (31 percent), and retail stores (31 percent) were the only locations in which more than 30 percent of Americans thought people should be allowed to carry guns, the researchers reported in the American Journal of Public Health.",American Journal of Public Health,1
"“There’s a large number of things that you can measure in sweat that can be very valuable.”   While sweat testing offers a “noninvasive and rich source of information,” Milla and his team write in the Proceedings of the National Academy of Sciences, the difficulty of collecting adequate amounts of sweat in sedentary individuals has limited its usefulness in cystic fibrosis (CF) diagnosis.",Proceedings of the National Academy of Sciences,1
